Date,Close,High,Low,Open,Volume
2025-03-07,160.18807983398438,171.4807060210905,158.74745318005336,164.88171382930236,20646440
2025-03-10,178.31202697753906,182.9127252381242,167.9023485033494,168.41354035053573,17911020
2025-03-11,180.31031799316406,185.515157587435,172.17776499089507,179.56676745369006,21106840
2025-03-12,174.2225341796875,180.17092485431,169.57536061297378,171.75953786214853,20691540
2025-03-13,183.7492218017578,185.88692426724046,175.05901660149243,175.15195155439795,16604760
2025-03-14,170.690673828125,178.35850996143722,169.66830418624536,177.6614339493179,18403500
2025-03-17,167.39117431640625,172.68894861086014,164.1381532711394,170.73713031088153,15124840
2025-03-18,175.84902954101562,178.265565257076,170.92302315492148,170.92302315492148,13736700
2025-03-19,169.1571044921875,175.80255649584745,164.09168854023198,173.61839360091835,16553380
2025-03-20,170.78363037109375,174.1296010471019,165.29997117757594,173.4325250047709,14904100
2025-03-21,169.1571044921875,177.89378443599813,168.5994380353285,176.639056181136,13698320
2025-03-24,158.6080322265625,162.18636163751626,157.49271337835893,161.48928558463294,13410540
2025-03-25,155.77325439453125,158.65449332585953,155.58735611724452,157.77153323693713,9796880
2025-03-26,164.3639373779297,165.87271988167873,156.06558324597248,156.86713429314952,16307280
2025-03-27,167.2400665283203,168.7016963715292,162.1950406141028,166.43851551389037,15522100
2025-03-28,180.58343505859375,181.66787290780297,168.65456116147942,169.40894520147546,17357760
2025-03-31,180.7720489501953,194.2568736388376,179.734763598118,188.88180768293253,20047460
2025-04-01,176.52854919433594,186.14708921791126,175.49126398540338,182.79947060163724,21250840
2025-04-02,172.56797790527344,184.30825549153016,168.9374436527781,183.97821607972787,25597740
2025-04-03,200.52777099609375,201.0464208393838,190.29628949188944,194.2568634415477,26980160
2025-04-04,237.44601440429688,237.58745782158653,214.53124552136669,217.64313020232456,45621840
2025-04-07,236.5501708984375,272.52540452974034,203.78111274131473,262.4353520896215,45279700
2025-04-08,249.75209045410156,260.0778626057026,204.44120341635656,212.64525240519646,42987740
2025-04-09,161.62925720214844,250.97798920474438,156.3956490551126,250.6479353626094,54654860
2025-04-10,180.15908813476562,194.16254674068236,170.4933952591624,172.56798012052568,47232500
2025-04-11,170.77630615234375,186.33571507860867,168.89031719158436,182.23368333337547,29853540
2025-04-14,167.14576721191406,172.5679853302131,158.70596971426536,159.27175775410709,22798880
2025-04-15,166.6271209716797,168.6545677277252,161.8178577791759,166.06133291965477,17659220
2025-04-16,181.7150421142578,188.78750105271325,172.567998098313,176.52857222605715,21602400
2025-04-17,182.1865234375,185.58130918653393,177.75445243494974,178.60314167773157,20267260
2025-04-21,195.62420654296875,202.17801545343667,188.45745696184247,189.58904748634092,14677340
2025-04-22,180.4891357421875,189.82478962544434,176.33996583115362,188.12739670222004,21852880
2025-04-23,168.60740661621094,170.35193767476346,157.6215128958559,163.93958707506877,27405040
2025-04-24,154.27391052246094,166.91003144093887,153.84955147373554,166.20278554500268,24455900
2025-04-25,149.22886657714844,156.34847730743488,148.71021676970585,154.74538967539198,21898940
2025-04-28,149.41748046875,155.4997923122288,147.15429935130126,148.9459832035353,20488100
2025-04-29,146.54132080078125,152.19928707708866,145.69263161491605,151.63349908282933,18400320
2025-04-30,146.44703674316406,158.70596423994354,145.07969770785232,154.36818413934807,27368860
2025-05-01,141.496337890625,141.87352996246798,135.9326613027319,139.51604354106124,27094140
2025-05-02,134.89537048339844,138.43159997323434,133.10367224184213,136.92280296865584,21943440
2025-05-05,137.394287109375,138.85593137000782,134.8010523978808,138.38443414973617,15240580
2025-05-06,141.11912536621094,143.99526155453623,138.148698358454,142.86367099867428,19211460
2025-05-07,139.5631866455078,145.3625970917496,137.44144901069436,140.6947771729508,23742840
2025-05-08,135.4140167236328,138.95024611868985,131.59488609918034,135.17826809729567,22583860
2025-05-09,135.7912139892578,137.34714922730282,132.86792515474048,133.99953011581482,15255340
2025-05-12,119.38310241699219,124.61671758213986,119.28880440576447,119.99605028168797,27343220
2025-05-13,113.91373443603516,118.9587533931382,112.64068615062232,118.4401035587495,23985740
2025-05-14,111.93344116210938,113.81943010970667,111.55624912817142,113.15933685583838,19373120
2025-05-15,111.50909423828125,114.24377959507102,109.85885394300014,113.34793054666095,22766680
2025-05-16,110.23605346679688,113.15933484472355,110.1889008661542,110.80184870212514,16879200
2025-05-19,110.04745483398438,114.9981759392699,109.67026279106807,114.90387792854082,24765780
2025-05-20,111.2261962890625,113.48938448506215,110.75469904799911,111.69769353012589,16974640
2025-05-21,115.79972076416016,117.02560922640153,109.48165366377158,113.77228126780803,30509600
2025-05-22,115.23391723632812,116.41266028168532,112.73498773575217,115.51681844500449,28093940
2025-05-23,118.62870788574219,121.1276374900261,116.93131495219377,120.75044545543925,33243940
2025-05-27,110.33035278320312,114.99817252316329,110.00030615821711,113.86658203907501,22006040
2025-05-28,111.83914184570312,112.16918846877749,108.82156244262778,109.71740430446917,16484940
2025-05-29,111.17904663085938,112.92358491719843,106.98271702915014,107.07702222933874,22330460
2025-05-30,111.88629913330078,116.55411904174936,110.89615202812583,111.6976959161604,25959760
2025-06-02,109.29306030273438,114.00803264371105,109.15160969360971,113.15933618343988,18383780
2025-06-03,106.7469711303711,109.71740514988227,105.89828186291949,109.15160990675558,16610880
2025-06-04,105.99258422851562,107.68997002767735,105.33248375566622,106.46408148291785,14752500
2025-06-05,108.397216796875,109.67026514976689,103.4464955851134,105.14388859265111,28965460
2025-06-06,105.37963104248047,106.46407611179062,104.20088796594266,105.33247844162825,18940740
2025-06-09,105.00244140625,105.94543595357956,103.96514884308299,105.28534264823985,14402980
2025-06-10,102.83354949951172,106.08687753272454,102.50349568049512,104.7666838400886,15235820
2025-06-11,104.01229095458984,105.33247743207755,101.46620161698489,102.17344745612904,21144160
2025-06-12,103.35218811035156,105.00242836319082,102.73924029183024,104.86097775976643,17800180
2025-06-13,107.31277465820312,108.06716592521055,104.53093662664688,106.98272083475564,30116300
2025-06-16,102.88069152832031,105.28533021790197,102.26774370602729,105.23817761831151,18301660
2025-06-17,105.94542694091797,106.65267279125051,103.49364276532722,104.43663723243728,17891240
2025-06-18,106.08688354492188,107.07703066913204,104.01229847783429,105.52108827157774,19887920
2025-06-20,107.642822265625,108.7272673659373,103.54079768089996,104.29518895476464,19692980
2025-06-23,104.2951889038086,109.19876455667979,104.01229487417642,107.31277558122402,25653380
2025-06-24,99.53307342529297,101.6548110731554,99.0144235669135,101.27761183019554,16451180
2025-06-25,98.80278015136719,99.8528565514196,97.65724358460889,98.32547203469392,13692440
2025-06-26,96.12985229492188,98.70732050852307,95.89119823531865,97.65724410289765,13589540
2025-06-27,95.17523956298828,97.13220583709153,94.2683570163419,95.74801515365354,18066800
2025-06-30,93.4092025756836,94.79340056689723,92.83643425797023,93.64785664832618,11948680
2025-07-01,95.79573822021484,97.0367422453797,93.93423946561147,94.4592740276859,17809940
2025-07-02,93.83877563476562,96.36850274530053,93.79104191137515,96.27304258166322,15493180
2025-07-03,91.30905151367188,92.83643615313571,90.78400962988222,92.83643615313571,12419720
2025-07-07,93.36146545410156,94.5547356808506,92.26365538886375,92.64550331805215,17744180
2025-07-08,93.2182846069336,93.8865131141081,92.40686219589472,92.74097644948196,14744720
2025-07-09,91.30905151367188,92.9318963275126,90.64081572674463,92.26366782372982,16401480
2025-07-10,91.6908950805664,93.07508575026137,90.83173898624287,91.07039305226918,12744380
2025-07-11,92.45458221435547,93.5523923568039,91.6908935854108,92.9796240643094,15072060
2025-07-14,91.54769897460938,93.83877940979033,91.16585102155523,92.64550910846107,13871540
2025-07-15,91.30905151367188,91.3567779592881,89.30435871917906,89.63847297107046,17153880
2025-07-16,91.02266693115234,93.88651596275533,90.78401284518543,91.11812710891017,22175600
2025-07-17,88.8747787475586,91.16585939312468,88.68385839507167,90.78401140500623,16407060
2025-07-18,89.25662231445312,89.87712435401667,88.30200603301513,88.39746620453008,16246760
2025-07-21,87.92015838623047,88.92250839867387,87.06100227315673,88.92250839867387,15911720
2025-07-22,89.30435180664062,90.59308226883672,87.92015389431276,87.96788761937864,18302120
2025-07-23,88.15880584716797,90.21123216252073,88.15880584716797,88.87476800718797,17298860
2025-07-24,87.58604431152344,88.49292687070111,87.06100244053997,87.63377803911985,15184840
2025-07-25,87.10873413085938,88.11108412178717,86.53596582881953,87.8246963291952,13551100
2025-07-28,86.29730987548828,86.96553833273072,85.91546192143092,86.53596393638115,12938160
2025-07-29,86.72688293457031,87.15646460743999,84.57899641965344,85.19949842503597,18188820
2025-07-30,86.39277648925781,87.87243469045318,85.29496627061073,86.39277648925781,20937520
2025-07-31,87.92015838623047,88.39746652869985,83.4811912046364,83.52892493214105,25819980
